q_id,q_tag,question,options,advice,diagnosis,lab_tests,red_flags,precautions,otc_medication
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 3, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 3, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 3, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 3, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 3, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 3, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
3,NEW,Does the infant have a persistent cough?,"[{'next_q_id': 4, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 101, 'opt_value': 'No', 'option_id': 2}]",,,,,,
4,NEW,Is the cough accompanied by fever?,"[{'next_q_id': 5, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 6, 'opt_value': 'No', 'option_id': 2}]",,,,,,
5,NEW,Does the infant have difficulty breathing?,"[{'next_q_id': 104, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 6, 'opt_value': 'No', 'option_id': 2}]",,,,,,
6,NEW,Is the cough wet or productive?,"[{'next_q_id': 7, 'opt_value': 'Wet', 'option_id': 1}, {'next_q_id': 8, 'opt_value': 'Dry', 'option_id': 2}]",,,,,,
7,NEW,Does the infant have nasal congestion?,"[{'next_q_id': 105, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 8, 'opt_value': 'No', 'option_id': 2}]",,,,,,
8,NEW,Is the infant's cough worse at night?,"[{'next_q_id': 102, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 9, 'opt_value': 'No', 'option_id': 2}]",,,,,,
9,NEW,Is the infant wheezing while coughing?,"[{'next_q_id': 101, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 10, 'opt_value': 'No', 'option_id': 2}]",,,,,,
10,NEW,Has the infant been exposed to smoke or pollutants?,"[{'next_q_id': 106, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 11, 'opt_value': 'No', 'option_id': 2}]",,,,,,
11,NEW,Does the infant have a history of allergies?,"[{'next_q_id': 105, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 12, 'opt_value': 'No', 'option_id': 2}]",,,,,,
12,NEW,Does the infant vomit after coughing?,"[{'next_q_id': 106, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 13, 'opt_value': 'No', 'option_id': 2}]",,,,,,
13,NEW,Is the infant feeding normally despite the cough?,"[{'next_q_id': 107, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 14, 'opt_value': 'No', 'option_id': 2}]",,,,,,
14,NEW,Has the infant been recently vaccinated?,"[{'next_q_id': 103, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 107, 'opt_value': 'No', 'option_id': 2}]",,,,,,
101,DIAGNOSIS,Diagnosis: Bronchiolitis,[],"['Keep the infant hydrated', 'Use a humidifier']","{'description': 'A common lung infection in infants causing cough and wheezing.', 'diagnosis_title': 'Bronchiolitis'}","['Chest X-ray', 'Oxygen saturation test']","['Severe difficulty breathing', 'Bluish skin']",['Avoid smoke exposure'],['Saline nasal drops']
102,DIAGNOSIS,Diagnosis: Croup,[],['Steam inhalation'],"{'description': 'A viral infection causing a barking cough and stridor in young children.', 'diagnosis_title': 'Croup'}",['Clinical diagnosis'],['Stridor at rest'],['Avoid cold air exposure'],['Acetaminophen for fever']
103,DIAGNOSIS,Diagnosis: RSV Infection,[],['Frequent suctioning of nasal secretions'],"{'description': 'A respiratory virus causing cold-like symptoms in infants.', 'diagnosis_title': 'RSV Infection'}",['RSV antigen test'],['Severe lethargy'],['Hand hygiene'],['Saline drops']
104,DIAGNOSIS,Diagnosis: Pneumonia,[],['Seek immediate medical care'],"{'description': 'Lung infection causing fever, cough, and difficulty breathing.', 'diagnosis_title': 'Pneumonia'}","['Chest X-ray', 'Blood culture']",['Rapid breathing'],['Vaccination'],"['None, prescription antibiotics needed']"
105,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
106,DIAGNOSIS,Diagnosis: Whooping Cough (Pertussis),[],['Vaccination'],"{'description': 'A bacterial infection causing severe coughing fits.', 'diagnosis_title': 'Whooping Cough (Pertussis)'}",['Pertussis culture'],['Apnea episodes'],['Avoid contact with infected individuals'],"['None, antibiotics required']"
107,DIAGNOSIS,Diagnosis: Common Cold,[],['Ensure hydration'],"{'description': 'A viral infection causing mild cough and nasal congestion.', 'diagnosis_title': 'Common Cold'}",['None'],['High fever'],['Handwashing'],['Saline drops']
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 3, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 1000, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 1000, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 1000, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 1000, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 1000, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
3,NEW,Does the infant have a persistent cough?,"[{'next_q_id': 4, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 1007, 'opt_value': 'No', 'option_id': 2}]",,,,,,
4,NEW,Is the cough accompanied by fever?,"[{'next_q_id': 5, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 6, 'opt_value': 'No', 'option_id': 2}]",,,,,,
5,NEW,Does the infant have difficulty breathing?,"[{'next_q_id': 104, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 6, 'opt_value': 'No', 'option_id': 2}]",,,,,,
6,NEW,Is the cough wet or productive?,"[{'next_q_id': 7, 'opt_value': 'Wet', 'option_id': 1}, {'next_q_id': 8, 'opt_value': 'Dry', 'option_id': 2}]",,,,,,
7,NEW,Does the infant have nasal congestion?,"[{'next_q_id': 105, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 9, 'opt_value': 'No', 'option_id': 2}]",,,,,,
8,NEW,Is the infant's cough worse at night?,"[{'next_q_id': 102, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 9, 'opt_value': 'No', 'option_id': 2}]",,,,,,
9,NEW,Is the infant wheezing while coughing?,"[{'next_q_id': 101, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 10, 'opt_value': 'No', 'option_id': 2}]",,,,,,
10,NEW,Has the infant been exposed to smoke or pollutants?,"[{'next_q_id': 106, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 11, 'opt_value': 'No', 'option_id': 2}]",,,,,,
11,NEW,Does the infant have a history of allergies?,"[{'next_q_id': 105, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 12, 'opt_value': 'No', 'option_id': 2}]",,,,,,
12,NEW,Does the infant vomit after coughing?,"[{'next_q_id': 106, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 13, 'opt_value': 'No', 'option_id': 2}]",,,,,,
13,NEW,Is the infant feeding normally despite the cough?,"[{'next_q_id': 107, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 14, 'opt_value': 'No', 'option_id': 2}]",,,,,,
14,NEW,Has the infant been recently vaccinated?,"[{'next_q_id': 103, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 107, 'opt_value': 'No', 'option_id': 2}]",,,,,,
101,DIAGNOSIS,Diagnosis: Bronchiolitis,[],"['Keep the infant hydrated', 'Use a humidifier']","{'description': 'A common lung infection in infants causing cough and wheezing.', 'diagnosis_title': 'Bronchiolitis'}","['Chest X-ray', 'Oxygen saturation test']","['Severe difficulty breathing', 'Bluish skin']",['Avoid smoke exposure'],['Saline nasal drops']
102,DIAGNOSIS,Diagnosis: Croup,[],['Steam inhalation'],"{'description': 'A viral infection causing a barking cough and stridor in young children.', 'diagnosis_title': 'Croup'}",['Clinical diagnosis'],['Stridor at rest'],['Avoid cold air exposure'],['Acetaminophen for fever']
103,DIAGNOSIS,Diagnosis: RSV Infection,[],['Frequent suctioning of nasal secretions'],"{'description': 'A respiratory virus causing cold-like symptoms in infants.', 'diagnosis_title': 'RSV Infection'}",['RSV antigen test'],['Severe lethargy'],['Hand hygiene'],['Saline drops']
104,DIAGNOSIS,Diagnosis: Pneumonia,[],['Seek immediate medical care'],"{'description': 'Lung infection causing fever, cough, and difficulty breathing.', 'diagnosis_title': 'Pneumonia'}","['Chest X-ray', 'Blood culture']",['Rapid breathing'],['Vaccination'],"['None, prescription antibiotics needed']"
105,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
106,DIAGNOSIS,Diagnosis: Whooping Cough (Pertussis),[],['Vaccination'],"{'description': 'A bacterial infection causing severe coughing fits.', 'diagnosis_title': 'Whooping Cough (Pertussis)'}",['Pertussis culture'],['Apnea episodes'],['Avoid contact with infected individuals'],"['None, antibiotics required']"
107,DIAGNOSIS,Diagnosis: Common Cold,[],['Ensure hydration'],"{'description': 'A viral infection causing mild cough and nasal congestion.', 'diagnosis_title': 'Common Cold'}",['None'],['High fever'],['Handwashing'],['Saline drops']
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 15, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 15, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 15, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 15, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 15, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 15, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
15,NEW,Does the child have a persistent cough?,"[{'next_q_id': 16, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 108, 'opt_value': 'No', 'option_id': 2}]",,,,,,
16,NEW,Is the cough accompanied by a sore throat?,"[{'next_q_id': 17, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 18, 'opt_value': 'No', 'option_id': 2}]",,,,,,
17,NEW,Does the child have a fever along with the cough?,"[{'next_q_id': 110, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 18, 'opt_value': 'No', 'option_id': 2}]",,,,,,
18,NEW,Is the cough dry or productive?,"[{'next_q_id': 19, 'opt_value': 'Dry', 'option_id': 1}, {'next_q_id': 114, 'opt_value': 'Productive', 'option_id': 2}]",,,,,,
19,NEW,Does the child experience chest pain while coughing?,"[{'next_q_id': 111, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 20, 'opt_value': 'No', 'option_id': 2}]",,,,,,
20,NEW,Does the child have a runny nose?,"[{'next_q_id': 109, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 21, 'opt_value': 'No', 'option_id': 2}]",,,,,,
21,NEW,Is the cough worse in the morning or at night?,"[{'next_q_id': 111, 'opt_value': 'Morning', 'option_id': 1}, {'next_q_id': 22, 'opt_value': 'Night', 'option_id': 2}]",,,,,,
22,NEW,Does the child have a history of asthma or allergies?,"[{'next_q_id': 108, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 23, 'opt_value': 'No', 'option_id': 2}]",,,,,,
23,NEW,Does the child cough after physical activity?,"[{'next_q_id': 108, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 24, 'opt_value': 'No', 'option_id': 2}]",,,,,,
24,NEW,Has the child been exposed to someone with a cold or flu?,"[{'next_q_id': 110, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 25, 'opt_value': 'No', 'option_id': 2}]",,,,,,
25,NEW,Does the child have difficulty sleeping due to the cough?,"[{'next_q_id': 111, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 26, 'opt_value': 'No', 'option_id': 2}]",,,,,,
26,NEW,Has the child recently traveled to a high-pollution area?,"[{'next_q_id': 114, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 113, 'opt_value': 'No', 'option_id': 2}]",,,,,,
108,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
109,DIAGNOSIS,Diagnosis: Sinusitis,[],['Steam inhalation'],"{'description': 'Inflammation of sinuses causing cough and nasal discharge.', 'diagnosis_title': 'Sinusitis'}",['Sinus X-ray'],['Facial swelling'],['Avoid allergens'],['Decongestants']
110,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
111,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
112,DIAGNOSIS,Diagnosis: Foreign Body Aspiration,[],['Seek immediate medical attention'],"{'description': 'Inhalation of a foreign object causing sudden cough.', 'diagnosis_title': 'Foreign Body Aspiration'}",['Bronchoscopy'],['Choking'],['Supervise while eating'],"['None, emergency care required']"
113,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
114,DIAGNOSIS,Diagnosis: Bronchitis,[],['Stay hydrated'],"{'description': 'Inflammation of the bronchial tubes causing cough.', 'diagnosis_title': 'Bronchitis'}",['Chest X-ray'],['Persistent fever'],['Avoid smoking exposure'],['Cough suppressants']
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 15, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 15, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 15, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 15, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 15, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 15, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
15,NEW,Does the child have a persistent cough?,"[{'next_q_id': 16, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 108, 'opt_value': 'No', 'option_id': 2}]",,,,,,
16,NEW,Is the cough accompanied by a sore throat?,"[{'next_q_id': 17, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 18, 'opt_value': 'No', 'option_id': 2}]",,,,,,
17,NEW,Does the child have a fever along with the cough?,"[{'next_q_id': 110, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 18, 'opt_value': 'No', 'option_id': 2}]",,,,,,
18,NEW,Is the cough dry or productive?,"[{'next_q_id': 19, 'opt_value': 'Dry', 'option_id': 1}, {'next_q_id': 114, 'opt_value': 'Productive', 'option_id': 2}]",,,,,,
19,NEW,Does the child experience chest pain while coughing?,"[{'next_q_id': 111, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 20, 'opt_value': 'No', 'option_id': 2}]",,,,,,
20,NEW,Does the child have a runny nose?,"[{'next_q_id': 109, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 21, 'opt_value': 'No', 'option_id': 2}]",,,,,,
21,NEW,Is the cough worse in the morning or at night?,"[{'next_q_id': 111, 'opt_value': 'Morning', 'option_id': 1}, {'next_q_id': 22, 'opt_value': 'Night', 'option_id': 2}]",,,,,,
22,NEW,Does the child have a history of asthma or allergies?,"[{'next_q_id': 108, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 23, 'opt_value': 'No', 'option_id': 2}]",,,,,,
23,NEW,Does the child cough after physical activity?,"[{'next_q_id': 108, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 24, 'opt_value': 'No', 'option_id': 2}]",,,,,,
24,NEW,Has the child been exposed to someone with a cold or flu?,"[{'next_q_id': 110, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 25, 'opt_value': 'No', 'option_id': 2}]",,,,,,
25,NEW,Does the child have difficulty sleeping due to the cough?,"[{'next_q_id': 111, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 26, 'opt_value': 'No', 'option_id': 2}]",,,,,,
26,NEW,Has the child recently traveled to a high-pollution area?,"[{'next_q_id': 113, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 112, 'opt_value': 'No', 'option_id': 2}]",,,,,,
108,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
