protocol_id,node_type,q_id,question,options,diagnosis,red_flag_symptom,over_to_counter,advice,precaution,lab_tests,diet,description,category,gender
5,question,1,Does the infant cry excessively or seem irritable?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 2}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,question,2,Does the infant show signs of lethargy or decreased activity?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 3}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,question,3,Has the infant been feeding poorly?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 4}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,question,4,Has the infant had a fever recently?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 5}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,question,5,Has the infant been vomiting or spitting up more than usual?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 105}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,diagnosis,105,,,Meningitis,"[""Seizures, stiff neck""]",[],"[""Seek immediate medical attention""]","[""Vaccination""]","[""Lumbar puncture""]",,Serious infection causing headache and fever.,0-2,Male
5,question,1,Does the infant cry excessively or seem irritable?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 2}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
5,question,2,Does the infant show signs of lethargy or decreased activity?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 3}]",,,,,,,,No,0-2,Female
5,question,3,Has the infant been feeding poorly?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 4}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
5,question,4,Has the infant had a fever recently?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 5}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
5,question,5,Has the infant been vomiting or spitting up more than usual?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 105}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
5,diagnosis,105,,,Meningitis,"[""Seizures, stiff neck""]",[],"[""Seek immediate medical attention""]","[""Vaccination""]","[""Lumbar puncture""]",,Serious infection causing headache and fever.,0-2,Female
5,question,13,Does the child complain of pain in their head?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 14}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,3-12,Male
5,question,14,"Is the headache mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": 15}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": null}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": null}]",,,,,,,,Mild,3-12,Male
5,question,15,Does the child have nausea or vomiting with the headache?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 16}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,3-12,Male
5,question,16,Does the child have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 17}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,3-12,Male
5,question,17,Has the child had any recent head injuries?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 108}]",,,,,,,,No,3-12,Male
5,diagnosis,108,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,3-12,Male
5,question,13,Does the child complain of pain in their head?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 14}]",,,,,,,,No,3-12,Female
5,question,14,"Is the headache mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": 15}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": null}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": null}]",,,,,,,,Mild,3-12,Female
5,question,15,Does the child have nausea or vomiting with the headache?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 16}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,3-12,Female
5,question,16,Does the child have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 17}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,3-12,Female
5,question,17,Has the child had any recent head injuries?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 108}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,3-12,Female
5,diagnosis,108,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,3-12,Female
5,question,25,Do you experience frequent headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 26}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,13-18,Male
5,question,26,"Are the headaches mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": 27}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": null}]",,,,,,,,Moderate,13-18,Male
5,question,27,Do you have nausea or vomiting with your headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 28}]",,,,,,,,No,13-18,Male
5,question,28,Do you have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 29}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,13-18,Male
5,question,29,Do you have difficulty concentrating during a headache?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 115}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,13-18,Male
5,diagnosis,115,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,13-18,Male
5,question,25,Do you experience frequent headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 26}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,13-18,Female
5,question,26,"Are the headaches mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": 27}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": null}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": null}]",,,,,,,,Mild,13-18,Female
5,question,27,Do you have nausea or vomiting with your headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 28}]",,,,,,,,No,13-18,Female
5,question,28,Do you have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 29}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,13-18,Female
5,question,29,Do you have difficulty concentrating during a headache?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 115}]",,,,,,,,No,13-18,Female
5,diagnosis,115,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,13-18,Female
5,question,40,Do you experience headaches frequently?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 41}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,19-40,Male
5,question,41,"Are your headaches mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": null}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": 42}]",,,,,,,,Severe,19-40,Male
5,question,42,Do you experience nausea or vomiting with your headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 43}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,19-40,Male
5,question,43,Do you have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 44}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,19-40,Male
5,question,44,Do you experience headaches after consuming alcohol?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 122}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,19-40,Male
5,diagnosis,122,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,19-40,Male
5,question,40,Do you experience headaches frequently?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 41}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,19-40,Female
5,question,41,"Are your headaches mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": 42}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": null}]",,,,,,,,Moderate,19-40,Female
5,question,42,Do you experience nausea or vomiting with your headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 43}]",,,,,,,,No,19-40,Female
5,question,43,Do you have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 44}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,19-40,Female
5,question,44,Do you experience headaches after consuming alcohol?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 122}]",,,,,,,,No,19-40,Female
5,diagnosis,122,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,19-40,Female
5,question,55,Do you experience frequent headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 56}]",,,,,,,,No,41-65,Male
5,question,56,"Are your headaches mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": 57}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": null}]",,,,,,,,Moderate,41-65,Male
5,question,57,Do you experience nausea or vomiting with your headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 58}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,41-65,Male
5,question,58,Do you have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 59}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,41-65,Male
5,question,59,Do you experience headaches after consuming alcohol?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 129}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,41-65,Male
5,diagnosis,129,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,41-65,Male
5,question,55,Do you experience frequent headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 56}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,41-65,Female
5,question,56,"Are your headaches mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": 57}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": null}]",,,,,,,,Moderate,41-65,Female
5,question,57,Do you experience nausea or vomiting with your headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 58}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,41-65,Female
5,question,58,Do you have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 59}]",,,,,,,,No,41-65,Female
5,question,59,Do you experience headaches after consuming alcohol?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 129}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,41-65,Female
5,diagnosis,129,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,41-65,Female
5,question,70,Do you experience frequent headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 71}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,66+,Male
5,question,71,"Are your headaches mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": null}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": 72}]",,,,,,,,Severe,66+,Male
5,question,72,Do you experience nausea or vomiting with your headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 73}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,66+,Male
5,question,73,Do you have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 74}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,66+,Male
5,question,74,Do you experience headaches after consuming alcohol?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 136}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,66+,Male
5,diagnosis,136,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,66+,Male
5,question,70,Do you experience frequent headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 71}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,66+,Female
5,question,71,"Are your headaches mild, moderate, or severe?","[{""opt_id"": 1, ""opt_value"": ""Mild"", ""next_id"": 72}, {""opt_id"": 2, ""opt_value"": ""Moderate"", ""next_id"": null}, {""opt_id"": 3, ""opt_value"": ""Severe"", ""next_id"": null}]",,,,,,,,Mild,66+,Female
5,question,72,Do you experience nausea or vomiting with your headaches?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 73}]",,,,,,,,No,66+,Female
5,question,73,Do you have sensitivity to light or sound?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 74}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,66+,Female
5,question,74,Do you experience headaches after consuming alcohol?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 136}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,66+,Female
5,diagnosis,136,,,Migraine,"[""Severe pain""]","[""Ibuprofen""]","[""Avoid triggers""]","[""Track headache patterns""]","[""Neurological exam""]",,Recurring headaches with nausea.,66+,Female
